[INFO] 2026-03-19 20:46:05,190 django.server "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
[INFO] 2026-03-19 20:46:06,744 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:46:09,131 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:46:09,163 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:48:18,008 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:48:18,031 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:50:15,802 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:50:18,287 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:50:18,319 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:53:24,776 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:53:24,818 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:53:36,531 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:53:38,956 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:53:38,982 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:54:01,604 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:54:01,627 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:54:06,325 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:54:08,433 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:54:08,468 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:54:59,108 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:54:59,133 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:55:41,295 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:55:43,185 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:55:43,209 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:56:31,672 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:56:31,699 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[INFO] 2026-03-19 20:57:00,596 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 20:57:02,917 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:57:02,948 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 404 2929
[WARNING] 2026-03-19 20:58:58,870 django.server "POST /api/admin/customer/ HTTP/1.1" 404 2911
[WARNING] 2026-03-19 21:01:48,138 django.server "POST /api/admin/customer/ HTTP/1.1" 400 156
[WARNING] 2026-03-19 21:03:03,556 django.server "POST /api/admin/customer/ HTTP/1.1" 400 156
[ERROR] 2026-03-19 21:03:43,589 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 500 98747
[ERROR] 2026-03-19 21:03:43,709 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 500 98747
[INFO] 2026-03-19 21:05:03,513 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:05:05,542 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 21:05:05,563 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
[WARNING] 2026-03-19 21:05:26,774 django.server "POST /api/admin/customer/ HTTP/1.1" 400 156
[INFO] 2026-03-19 21:06:53,879 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
